"filename", "language", "Dart", "CMake", "C++", "YAML", "Markdown", "Ruby", "Swift", "JSON", "XML", "Groovy", "Properties", "HTML", "comment", "blank", "total"
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/custom_widgets/error_screen.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/custom_widgets/hero_widget.dart", "Dart", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/custom_widgets/keyboard_detected.dart", "Dart", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 56
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/custom_widgets/rounded_outlined_button.dart", "Dart", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/custom_widgets/scale_transition.dart", "Dart", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/core/widgets/custom_widgets/vertical_animation_hero_page.dart", "Dart", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 43
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/features/base/view/base_page.dart", "Dart", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 57
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/features/searching/view/grid_page.dart", "Dart", 290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 325
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/features/searching/view_model/grid_notifier.dart", "Dart", 384, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 109, 511
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/features/searching/view_model/grid_notifier_state.dart", "Dart", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 58
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/features/searching/widgets/searcher_grid.dart", "Dart", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 96
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/features/sorting/base/helper/sortable_item.dart", "Dart", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 54
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/features/sorting/base/helper/sorting_enums.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 19
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/features/sorting/base/view/sorting_list_page.dart", "Dart", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 63
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/features/sorting/base/view/sorting_page.dart", "Dart", 205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 225
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/features/sorting/base/view_model/sorting_notifier.dart", "Dart", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48, 195
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/features/sorting/base/view_model/sorting_state.dart", "Dart", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/features/sorting/base/widgets/control_buttons.dart", "Dart", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 50
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/features/sorting/base/widgets/sorting_app_bar.dart", "Dart", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 1, 45
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/features/sorting/bubble/view/bubble_sort_page.dart", "Dart", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/features/sorting/bubble/view_model/bubble_sort_notifier.dart", "Dart", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 35
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/features/sorting/insertion/view/insertion_sort_page.dart", "Dart", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/features/sorting/insertion/view_model/insertion_sort_notifier.dart", "Dart", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/features/sorting/merge/view/merge_sort_page.dart", "Dart", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/features/sorting/merge/view_model/merge_sort_notifier.dart", "Dart", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 10
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/features/sorting/selection/view/selection_sort_page.dart", "Dart", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/features/sorting/selection/view_model/selection_sort_notifier.dart", "Dart", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 43
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/lib/main.dart", "Dart", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/linux/CMakeLists.txt", "CMake", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 146
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/linux/flutter/CMakeLists.txt", "CMake", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/linux/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/linux/flutter/generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/linux/flutter/generated_plugins.cmake", "CMake", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/linux/main.cc", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/linux/my_application.cc", "C++", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 26, 125
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/linux/my_application.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 4, 13
"/Users/ahmedelhawary/Documents/side_projects/flutter_projects/projects/algorithm-visualizer/macos/Podfile", "Ruby", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 10, 44
